Year,Month,Day,Hour,Minute,Temperature daily mean [2 m above gnd],Relative Humidity daily mean [2 m above gnd],Mean Sea Level Pressure daily mean [MSL],Total Precipitation (low resolution) daily sum [sfc],Total Cloud Cover daily mean [sfc],High Cloud Cover daily mean [high cld lay],Medium Cloud Cover daily mean [mid cld lay],Low Cloud Cover daily mean [low cld lay],Sunshine Duration daily sum [sfc],Shortwave Radiation daily sum [sfc],Wind Speed daily mean [10 m above gnd],Wind Direction daily mean [10 m above gnd],Wind Speed daily mean [80 m above gnd],Wind Direction daily mean [80 m above gnd],Wind Speed daily mean [900 mb],Wind Direction daily mean [900 mb],Wind Gust daily mean [sfc],Temperature daily max [2 m above gnd],Temperature daily min [2 m above gnd],Relative Humidity daily max [2 m above gnd],Relative Humidity daily min [2 m above gnd],Mean Sea Level Pressure daily max [MSL],Mean Sea Level Pressure daily min [MSL],Total Cloud Cover daily max [sfc],Total Cloud Cover daily min [sfc],High Cloud Cover daily max [high cld lay],High Cloud Cover daily min [high cld lay],Medium Cloud Cover daily max [mid cld lay],Medium Cloud Cover daily min [mid cld lay],Low Cloud Cover daily max [low cld lay],Low Cloud Cover daily min [low cld lay],Wind Speed daily max [10 m above gnd],Wind Speed daily min [10 m above gnd],Wind Speed daily max [80 m above gnd],Wind Speed daily min [80 m above gnd],Wind Speed daily max [900 mb],Wind Speed daily min [900 mb],Wind Gust daily max [sfc],Wind Gust daily min [sfc]
2000,1,11,0,0,26.75,66.00,1006.67,3.00,37.08,63.83,32.08,20.42,413.28,4170.54,3.26,231.71,5.75,226.82,7.79,314.98,7.75,31.25,23.28,84.00,50.00,1009.00,1003.30,98.00,3.00,100.00,1.00,98.00,0.00,97.00,0.00,4.60,1.85,7.26,3.32,10.20,3.34,12.53,3.36
2000,1,12,0,0,26.11,72.12,1006.58,17.90,100.00,100.00,99.88,57.29,0.00,2188.51,3.21,191.67,5.79,187.90,12.67,319.53,8.60,27.97,24.99,78.00,65.00,1009.20,1003.90,100.00,100.00,100.00,100.00,100.00,97.00,100.00,0.00,5.67,1.74,7.68,3.23,19.25,7.09,10.74,5.82
2000,1,13,0,0,24.94,80.62,1007.16,10.80,99.62,93.00,99.62,45.83,1.91,2480.43,3.10,155.65,5.27,94.05,14.34,313.78,9.67,27.57,24.06,88.00,70.00,1010.00,1004.40,100.00,91.00,100.00,8.00,100.00,91.00,100.00,0.00,5.00,1.66,6.63,3.62,18.80,10.76,12.30,6.71
2000,1,14,0,0,25.51,75.33,1006.49,1.60,97.54,93.21,97.54,13.92,0.00,3485.24,4.56,309.10,6.64,327.74,16.88,313.85,12.83,29.04,23.06,92.00,56.00,1009.80,1002.80,100.00,74.00,100.00,58.00,100.00,74.00,96.00,0.00,8.78,1.76,9.44,3.18,20.08,13.32,18.57,9.40
2000,1,15,0,0,24.40,81.17,1006.71,19.50,77.29,30.67,77.29,54.79,17.83,1480.96,3.66,124.61,5.96,152.62,16.24,339.13,10.99,25.45,23.28,88.00,72.00,1009.00,1004.00,100.00,8.00,100.00,0.00,100.00,8.00,100.00,0.00,5.65,2.19,7.40,4.44,23.44,9.30,13.65,7.83
2000,1,16,0,0,23.22,88.88,1008.53,15.40,96.08,42.12,96.08,58.00,0.00,1396.41,3.95,72.22,5.74,69.88,19.99,234.42,10.63,24.58,22.49,93.00,82.00,1010.40,1006.80,100.00,20.00,100.00,0.00,100.00,20.00,100.00,0.00,5.80,2.08,7.93,2.66,25.52,13.10,13.42,6.49
2000,1,17,0,0,23.31,84.50,1010.30,5.30,96.54,70.21,96.54,45.58,42.13,2888.94,3.23,246.37,4.55,290.87,15.73,308.93,10.19,26.27,20.88,95.00,69.00,1013.00,1007.60,100.00,60.00,100.00,0.00,100.00,60.00,100.00,0.00,4.92,1.27,8.07,2.52,28.55,4.24,14.99,5.82
2000,1,18,0,0,24.91,76.17,1011.79,0.50,86.67,33.58,86.67,28.29,155.74,4700.09,2.58,143.27,3.88,139.40,6.59,183.69,6.16,28.64,22.04,91.00,59.00,1013.90,1009.30,100.00,53.00,100.00,0.00,100.00,53.00,73.00,0.00,5.47,0.34,6.07,0.66,10.35,3.79,8.95,2.24
2000,1,19,0,0,23.79,85.29,1012.62,16.20,98.83,78.62,98.83,51.83,0.00,1427.56,1.83,204.61,2.92,217.09,6.34,175.32,6.19,25.80,22.38,94.00,76.00,1014.30,1010.10,100.00,87.00,100.00,18.00,100.00,87.00,100.00,0.00,3.46,0.65,5.09,0.07,9.95,2.46,8.72,2.91
2000,1,20,0,0,25.78,68.08,1010.68,0.00,25.75,27.50,23.21,4.17,690.70,7267.74,2.27,238.14,3.57,201.44,7.70,185.75,5.77,29.45,21.57,89.00,53.00,1013.40,1006.70,100.00,0.00,100.00,0.00,100.00,0.00,60.00,0.00,4.17,0.11,7.20,0.47,13.00,2.65,11.63,0.89
2000,1,21,0,0,26.69,65.62,1008.02,0.00,8.38,3.92,0.00,8.33,706.35,7362.08,5.22,337.72,6.83,335.97,13.89,321.62,11.06,29.79,22.55,83.00,54.00,1011.30,1004.10,100.00,0.00,36.00,0.00,0.00,0.00,100.00,0.00,6.95,3.59,8.29,6.16,18.34,9.67,14.32,8.28
2000,1,22,0,0,25.29,75.67,1009.21,4.80,61.41,31.92,37.46,55.92,60.87,2904.07,5.05,340.51,7.10,340.70,17.63,321.70,12.27,26.57,23.88,83.00,65.00,1011.40,1007.10,100.00,1.20,100.00,0.00,100.00,0.00,100.00,0.00,6.59,2.86,8.60,5.13,24.36,10.80,15.66,8.95
2000,1,23,0,0,24.35,81.21,1010.03,5.00,61.20,22.00,57.92,29.00,229.70,3389.12,4.42,330.75,6.50,327.88,19.08,307.09,14.19,25.96,22.46,91.00,71.00,1011.90,1006.90,100.00,5.70,100.00,0.00,100.00,0.00,95.00,0.00,6.34,2.96,7.85,5.02,24.47,11.81,17.90,10.29
2000,1,24,0,0,24.51,81.04,1009.15,4.10,67.90,10.21,67.88,34.42,79.95,2977.05,3.60,332.98,5.28,332.72,15.49,309.87,11.30,26.48,22.87,86.00,76.00,1011.50,1006.20,100.00,0.00,48.00,0.00,100.00,0.00,93.00,0.00,5.06,1.44,6.40,3.44,20.67,8.75,15.21,5.59
2000,1,25,0,0,24.70,80.96,1009.18,3.70,76.54,37.62,76.17,25.29,106.63,2903.18,2.36,202.61,4.55,282.20,9.42,316.83,7.25,27.05,22.53,93.00,68.00,1011.20,1006.30,100.00,10.00,100.00,0.00,100.00,1.00,100.00,0.00,4.27,1.09,6.24,2.46,13.18,7.09,11.86,3.80
2000,1,26,0,0,24.52,82.71,1010.14,2.80,97.71,23.04,97.71,33.04,19.79,2454.62,2.38,318.84,4.20,311.42,11.06,295.28,7.36,26.14,23.25,88.00,75.00,1012.20,1007.70,100.00,81.00,100.00,0.00,100.00,81.00,91.00,0.00,3.76,1.40,6.14,2.56,14.92,3.38,10.51,4.03
2000,1,27,0,0,25.28,77.71,1010.55,1.00,74.29,1.71,66.83,38.88,347.87,4686.74,2.64,204.88,4.05,203.00,8.87,246.06,6.19,28.68,23.01,91.00,61.00,1012.10,1007.90,100.00,0.00,35.00,0.00,100.00,0.00,100.00,0.00,3.45,1.76,5.91,2.00,15.03,3.20,10.51,1.57
2000,1,28,0,0,25.04,78.54,1009.22,1.30,68.38,1.00,64.08,34.62,248.36,3981.86,3.34,274.00,5.04,284.83,12.90,302.15,8.46,27.87,23.01,90.00,64.00,1012.10,1005.10,100.00,0.00,12.00,0.00,100.00,0.00,100.00,0.00,5.40,2.13,6.08,3.53,19.53,8.21,11.41,5.14
2000,1,29,0,0,25.05,78.25,1008.24,6.10,74.08,1.42,74.08,42.83,146.17,3102.54,3.97,335.78,5.81,334.51,15.01,312.74,11.18,27.30,23.68,86.00,67.00,1010.30,1005.10,100.00,0.00,17.00,0.00,100.00,0.00,100.00,0.00,5.67,2.67,6.73,4.27,20.67,9.76,12.75,9.62
2000,1,30,0,0,24.47,85.21,1009.80,11.10,100.00,38.96,100.00,69.42,0.00,1743.51,3.80,332.65,5.55,331.86,16.28,318.18,11.36,26.06,23.12,94.00,79.00,1013.10,1006.90,100.00,100.00,100.00,0.00,100.00,100.00,100.00,0.00,5.95,1.92,7.26,3.66,21.33,11.48,14.54,8.95
2000,1,31,0,0,23.35,92.71,1012.97,18.20,88.58,38.21,88.04,77.29,0.00,1108.05,2.20,297.92,3.26,288.03,13.87,318.40,8.25,24.58,22.27,98.00,86.00,1014.90,1010.90,100.00,5.00,100.00,0.00,100.00,5.00,100.00,0.00,4.15,0.48,5.55,1.34,17.96,10.93,12.30,2.46
2000,2,1,0,0,24.49,84.29,1012.69,1.70,82.75,31.92,71.46,58.92,233.62,4195.46,2.25,243.68,3.85,234.25,10.88,293.20,7.63,28.46,21.63,98.00,64.00,1014.90,1009.90,100.00,0.00,100.00,0.00,100.00,0.00,100.00,0.00,5.18,0.99,6.35,1.77,18.38,4.04,11.86,2.68
2000,2,2,0,0,25.39,77.46,1010.75,3.50,48.44,47.08,43.75,30.71,338.51,4661.82,4.19,326.10,6.14,322.39,14.36,300.72,11.05,27.87,23.02,90.00,63.00,1012.80,1007.60,100.00,0.00,100.00,0.00,100.00,0.00,96.00,0.00,6.99,1.96,7.48,4.93,21.19,8.81,13.65,7.83
2000,2,3,0,0,26.49,67.62,1009.00,0.30,34.67,23.67,31.00,11.17,502.26,6349.26,5.83,285.22,7.62,328.79,18.50,312.31,14.19,29.96,23.09,84.00,53.00,1011.20,1006.10,100.00,1.80,100.00,0.00,100.00,0.00,75.00,0.00,8.45,3.40,8.71,5.78,27.22,11.16,17.90,9.84
2000,2,4,0,0,24.98,78.46,1009.76,4.30,78.17,50.58,71.21,38.67,58.00,2653.98,4.93,335.84,6.82,334.73,17.88,314.44,12.45,26.39,23.54,88.00,70.00,1011.90,1007.00,100.00,30.00,100.00,0.00,100.00,0.00,95.00,0.00,6.28,3.67,8.32,5.23,24.73,9.60,14.54,9.40
2000,2,5,0,0,24.75,79.58,1010.68,5.40,39.57,53.88,28.96,25.54,294.22,3775.38,5.71,327.59,7.61,327.56,22.70,310.21,15.43,26.74,22.98,87.00,70.00,1012.70,1007.80,100.00,0.00,100.00,0.00,100.00,0.00,99.00,0.00,8.44,3.82,9.56,6.54,30.17,15.38,18.79,12.30
2000,2,6,0,0,25.22,74.92,1011.88,0.90,17.07,22.71,10.38,11.71,524.91,4716.11,4.61,266.68,6.25,253.05,16.26,318.18,12.65,27.70,22.92,84.00,65.00,1013.80,1009.40,88.00,0.00,100.00,0.00,88.00,0.00,88.00,0.00,6.46,2.90,7.23,4.92,22.90,9.34,15.66,8.50
2000,2,7,0,0,25.31,75.25,1011.71,2.60,47.92,4.42,36.88,32.38,344.21,4818.46,3.87,307.12,5.46,307.25,12.34,310.74,11.06,28.32,22.86,89.00,60.00,1013.70,1008.60,100.00,0.00,95.00,0.00,100.00,0.00,100.00,0.00,5.91,2.48,6.32,4.27,19.61,7.22,12.97,7.83
2000,2,8,0,0,26.36,68.04,1009.98,1.10,35.87,20.88,22.08,31.00,373.25,4935.94,4.48,292.76,6.35,305.21,15.33,311.29,12.13,29.78,23.05,82.00,53.00,1012.30,1006.20,82.00,0.00,100.00,0.00,82.00,0.00,82.00,0.00,7.53,2.70,7.87,5.12,21.29,9.99,14.76,9.17
2000,2,9,0,0,25.22,76.67,1009.14,4.60,76.12,39.88,66.92,43.83,106.66,2169.82,4.85,344.16,6.86,344.45,19.27,314.34,12.56,26.33,23.88,81.00,68.00,1010.70,1006.50,100.00,19.00,100.00,0.00,100.00,0.00,93.00,0.00,6.47,2.88,8.42,5.48,26.79,12.26,16.33,8.28
2000,2,10,0,0,24.38,82.92,1009.23,7.00,93.79,29.54,93.79,34.08,0.00,2241.91,4.38,340.72,6.22,339.88,19.52,306.63,12.55,26.16,23.04,89.00,78.00,1011.60,1006.30,100.00,22.00,100.00,0.00,100.00,22.00,100.00,0.00,5.36,2.73,7.36,5.00,21.59,17.50,15.43,10.74
2000,2,11,0,0,24.96,77.25,1008.84,2.40,71.50,71.38,66.67,25.54,104.55,3802.97,4.81,332.58,6.93,331.96,16.12,315.37,13.37,27.47,22.39,90.00,63.00,1011.10,1006.00,100.00,9.30,100.00,2.00,100.00,0.00,89.00,0.00,7.21,2.68,8.46,4.02,20.58,12.18,17.90,9.84
2000,2,12,0,0,24.83,76.67,1008.23,5.70,61.30,46.67,59.33,37.42,162.94,2807.06,4.28,333.70,6.59,331.86,17.54,308.37,13.65,26.07,22.97,81.00,74.00,1010.30,1005.40,100.00,1.80,100.00,2.00,100.00,0.00,96.00,0.00,6.47,2.20,7.86,5.31,21.09,11.70,15.88,11.18
2000,2,13,0,0,24.08,80.62,1009.12,2.70,88.62,44.54,84.29,65.46,0.00,2314.89,2.45,273.43,4.54,261.33,14.57,309.66,9.91,27.59,22.56,87.00,68.00,1012.80,1007.70,100.00,6.00,100.00,2.00,100.00,6.00,100.00,0.00,5.47,0.80,7.57,1.18,20.85,8.27,13.87,0.00
2000,2,14,0,0,22.75,91.50,1013.00,13.40,100.00,82.46,100.00,51.38,0.00,1257.57,2.09,120.97,3.90,104.59,8.15,133.93,4.97,23.82,21.50,97.00,87.00,1014.40,1011.60,100.00,100.00,100.00,4.00,100.00,100.00,100.00,0.00,3.53,0.81,6.59,2.52,12.31,1.44,8.28,1.57
2000,2,15,0,0,23.17,84.29,1013.35,0.00,79.92,72.71,76.25,41.08,209.98,3743.34,2.31,199.62,3.82,190.74,8.57,180.59,6.65,25.53,21.23,98.00,70.00,1015.10,1011.00,100.00,10.00,100.00,1.00,100.00,0.00,100.00,0.00,5.77,0.58,7.93,2.71,19.88,2.79,13.87,2.46
2000,2,16,0,0,24.12,76.71,1012.77,1.90,87.21,65.58,87.21,51.79,165.32,3729.99,2.69,160.60,4.25,146.23,10.95,119.91,8.93,27.10,22.36,88.00,66.00,1014.90,1009.80,100.00,1.00,100.00,0.00,100.00,1.00,100.00,0.00,5.87,0.74,6.87,1.39,16.63,6.81,19.69,1.57
2000,2,17,0,0,25.00,72.58,1011.30,2.40,74.72,12.04,74.71,18.29,255.74,4845.16,2.90,105.69,4.97,106.38,12.91,107.13,7.73,28.71,21.97,87.00,55.00,1014.10,1007.30,100.00,0.00,66.00,0.00,100.00,0.00,95.00,0.00,6.20,0.98,6.96,3.06,24.35,7.20,14.54,2.68
2000,2,18,0,0,25.28,71.29,1010.67,1.50,46.54,3.79,41.54,25.08,425.88,4583.50,1.64,63.97,3.17,89.06,3.53,117.29,4.01,28.10,22.98,81.00,59.00,1012.60,1008.10,100.00,0.00,90.00,0.00,100.00,0.00,100.00,0.00,1.97,0.75,6.41,0.82,6.91,1.33,7.38,2.01
2000,2,19,0,0,25.61,70.12,1010.85,0.00,31.08,2.33,20.29,15.46,626.82,6511.24,1.67,223.91,3.58,157.47,1.92,183.22,4.73,28.92,22.03,87.00,56.00,1013.10,1007.80,100.00,0.00,55.00,0.00,100.00,0.00,100.00,0.00,2.70,0.60,6.56,0.70,3.35,1.07,8.50,1.79
2000,2,20,0,0,24.98,76.04,1011.31,1.50,87.46,23.21,87.46,30.21,76.48,3195.10,2.28,218.65,3.93,244.72,4.49,295.76,5.83,26.74,23.09,82.00,71.00,1013.80,1008.20,100.00,31.00,100.00,0.00,100.00,31.00,100.00,0.00,4.09,1.44,6.24,1.30,7.35,1.80,8.72,3.58
2000,2,21,0,0,24.21,81.92,1011.08,5.60,92.96,31.08,92.96,42.00,24.26,1877.90,2.25,280.82,3.70,271.96,8.12,212.97,6.62,26.31,22.66,88.00,74.00,1013.20,1008.00,100.00,42.00,100.00,0.00,100.00,42.00,100.00,0.00,4.24,0.52,5.25,1.06,13.95,1.65,11.18,1.12
2000,2,22,0,0,24.54,79.62,1009.57,3.00,71.74,21.25,68.92,26.29,288.78,5185.14,2.57,270.29,3.73,237.14,7.34,276.51,4.72,27.36,22.35,90.00,65.00,1011.80,1006.20,100.00,10.00,88.00,0.00,100.00,0.00,92.00,0.00,4.92,0.47,5.95,1.07,16.01,1.00,9.84,1.12
2000,2,23,0,0,24.69,80.54,1009.76,0.90,69.46,39.58,42.21,67.42,121.02,3923.12,1.53,181.82,2.81,202.55,5.11,200.63,3.31,27.94,22.67,94.00,64.00,1012.20,1006.00,100.00,0.00,100.00,0.00,100.00,0.00,100.00,0.00,4.16,0.36,4.62,1.18,7.97,2.62,5.82,0.45
2000,2,24,0,0,24.05,86.62,1009.40,12.70,84.12,72.33,83.62,53.17,0.00,1809.37,1.48,201.37,2.68,193.39,4.93,222.66,3.32,26.37,22.73,93.00,79.00,1011.00,1006.60,100.00,13.00,100.00,0.00,100.00,4.00,100.00,0.00,2.93,0.29,3.65,1.19,7.60,0.90,5.82,1.12
2000,2,25,0,0,24.17,86.71,1009.54,13.70,61.94,51.08,58.17,58.71,214.27,3078.51,1.44,154.76,2.85,162.42,5.26,144.03,4.60,26.34,22.47,98.00,74.00,1012.40,1006.00,100.00,6.00,100.00,2.00,100.00,0.00,100.00,0.00,2.59,0.41,6.08,1.18,8.81,2.17,6.93,2.24
2000,2,26,0,0,24.89,79.79,1009.48,4.90,48.67,43.67,42.54,32.92,290.84,4140.28,2.51,218.05,4.48,216.92,4.36,246.15,5.89,28.78,21.80,98.00,60.00,1011.80,1006.10,100.00,9.00,100.00,0.00,100.00,0.00,99.00,0.00,3.53,1.75,6.59,1.98,8.06,2.59,9.17,2.46
2000,2,27,0,0,24.45,84.00,1008.92,12.30,73.39,68.75,71.75,57.54,70.00,2055.90,3.51,213.45,5.07,197.40,13.24,320.59,9.44,26.34,22.93,95.00,75.00,1011.80,1005.30,100.00,2.70,100.00,0.00,100.00,0.00,100.00,0.00,5.61,2.52,6.36,3.39,23.02,5.45,12.75,5.82
2000,2,28,0,0,24.76,80.08,1008.92,11.90,88.12,53.58,81.92,55.79,63.54,2443.05,2.74,290.03,4.24,283.62,13.76,320.41,10.15,27.01,23.31,91.00,68.00,1011.10,1006.20,100.00,14.00,100.00,0.00,100.00,14.00,100.00,0.00,5.27,0.66,6.14,2.15,20.11,7.25,13.20,4.47
2000,2,29,0,0,24.71,81.92,1010.50,14.00,98.29,8.25,98.29,58.12,14.04,2099.51,3.16,259.90,4.99,258.22,13.84,315.82,8.71,25.91,23.56,90.00,77.00,1012.60,1007.40,100.00,73.00,63.00,0.00,100.00,73.00,98.00,0.00,4.76,1.61,6.72,2.71,19.04,8.80,11.86,4.47
2000,3,1,0,0,24.45,84.83,1011.09,6.40,77.14,25.29,70.58,49.25,114.10,2719.84,2.15,140.04,4.21,184.13,9.63,322.77,7.31,25.92,22.55,92.00,79.00,1013.30,1008.10,100.00,2.40,100.00,2.00,100.00,0.00,100.00,0.00,3.42,1.40,6.76,1.45,13.34,5.80,10.29,3.58
2000,3,2,0,0,24.31,85.54,1010.05,8.20,98.33,6.17,94.50,68.21,15.96,2388.76,3.21,226.41,4.87,251.68,14.19,311.33,9.54,26.22,23.21,93.00,80.00,1012.20,1006.50,100.00,81.00,98.00,0.00,100.00,10.00,100.00,0.00,4.34,2.25,5.96,3.51,19.50,11.27,11.63,7.38
2000,3,3,0,0,24.43,84.42,1008.75,7.00,94.12,5.25,94.12,70.12,16.27,2520.48,3.34,232.45,5.10,245.08,13.46,316.76,9.60,26.07,23.02,91.00,78.00,1011.00,1005.30,100.00,5.00,93.00,0.00,100.00,5.00,100.00,0.00,5.80,1.99,6.49,2.98,18.34,9.53,12.30,5.59
2000,3,4,0,0,24.71,83.38,1009.35,20.20,82.75,13.17,82.75,62.50,54.29,2429.70,3.43,195.26,5.32,151.98,13.50,328.53,8.81,27.28,23.37,92.00,71.00,1011.30,1006.60,100.00,0.00,100.00,0.00,100.00,0.00,100.00,0.00,5.51,2.13,5.95,4.28,21.77,7.14,11.18,6.49
2000,3,5,0,0,24.59,81.29,1010.08,3.40,67.50,5.33,59.79,34.58,183.30,3774.49,3.48,336.91,4.66,338.72,17.53,297.22,10.08,26.18,23.29,88.00,75.00,1012.10,1007.90,100.00,0.00,94.00,0.00,100.00,0.00,100.00,0.00,4.60,2.34,5.92,3.51,20.34,14.22,12.97,7.61
2000,3,6,0,0,24.94,80.33,1010.23,1.20,83.08,0.08,80.67,31.33,232.34,4288.02,2.83,214.86,4.26,213.89,12.19,304.12,7.98,28.23,22.50,91.00,64.00,1012.20,1007.20,100.00,10.00,1.00,0.00,100.00,0.00,94.00,0.00,4.21,2.01,5.69,2.69,18.43,5.26,10.51,4.25
2000,3,7,0,0,23.96,89.04,1010.23,13.00,91.12,32.29,91.12,50.83,14.00,1676.76,2.15,130.56,3.96,141.36,10.94,304.46,6.36,24.88,22.80,97.00,84.00,1011.60,1008.00,100.00,14.00,100.00,0.00,100.00,14.00,100.00,0.00,2.89,0.50,5.84,2.39,15.53,6.81,9.17,2.91
2000,3,8,0,0,24.34,85.25,1008.98,1.60,69.41,70.83,68.17,57.58,135.01,3596.49,2.39,277.95,3.86,301.90,9.60,274.10,6.28,28.47,22.09,98.00,62.00,1011.70,1005.00,100.00,10.20,100.00,15.00,100.00,0.00,100.00,0.00,4.49,0.50,5.42,1.51,13.56,4.79,9.84,3.80
2000,3,9,0,0,24.46,83.08,1008.41,2.00,75.21,23.75,75.21,20.33,43.13,3056.26,3.36,280.59,5.07,279.66,15.60,304.92,11.26,26.75,22.90,93.00,72.00,1010.50,1005.10,100.00,0.00,100.00,0.00,100.00,0.00,89.00,0.00,5.69,2.02,6.25,3.23,22.60,13.64,14.32,8.72
2000,3,10,0,0,24.50,82.46,1009.34,4.00,88.71,16.00,88.71,34.29,47.23,2685.13,4.08,323.69,5.83,336.63,18.19,307.76,12.45,26.09,22.63,89.00,77.00,1011.10,1006.60,100.00,21.00,100.00,0.00,100.00,21.00,93.00,0.00,5.98,2.67,6.51,4.87,22.21,14.46,15.21,8.72
2000,3,11,0,0,24.07,84.38,1009.78,12.60,96.92,65.67,96.92,37.17,3.02,1699.01,4.90,332.24,7.01,330.91,21.14,307.63,14.20,24.69,22.78,90.00,79.00,1011.50,1007.50,100.00,62.00,100.00,0.00,100.00,62.00,100.00,0.00,6.59,3.59,8.56,5.34,25.35,17.77,16.78,11.41
2000,3,12,0,0,23.55,85.04,1008.89,2.40,65.62,16.12,49.83,39.83,170.30,2945.01,5.65,323.37,7.40,322.46,25.11,303.33,16.56,26.01,22.36,91.00,78.00,1011.00,1005.80,100.00,0.60,100.00,0.00,100.00,0.00,100.00,0.00,7.18,3.66,8.53,5.39,30.88,18.41,19.24,11.41
2000,3,13,0,0,25.02,74.46,1007.15,0.00,39.67,28.08,4.38,34.12,473.56,6687.46,6.43,327.19,8.37,325.33,23.73,310.09,17.87,28.70,21.04,93.00,59.00,1010.00,1002.80,100.00,4.80,100.00,0.00,62.00,0.00,100.00,0.00,9.16,4.24,10.06,6.86,30.18,17.06,21.70,10.96
